N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
783,TIGER 200선물인버스2X,"2,130",0,"1,167","54,800",3.19,"2,511,460",N/A,N/A
784,무림페이퍼,"2,795","2,500","1,163","41,609",6.22,"91,031",-3.02,-9.21
785,휴스틸,"15,250","5,000","1,162","7,622",3.53,"227,821",13.45,2.13
786,화승알앤에이,"6,110",500,"1,161","18,994",1.73,"125,728",N/A,N/A
787,우성사료,"37,550","5,000","1,160","3,090",1.57,"46,587",20.13,3.29
788,KODEX 중국본토CSI300,"14,110",0,"1,157","8,200",0.00,"9,999",N/A,N/A
789,영흥,"1,190",500,"1,153","96,928",2.03,"757,460",-5.09,-12.89
790,KODEX 차이나항셍테크,"10,335",0,"1,152","11,150",0.20,"25,281",N/A,N/A
791,TRUE 레버리지 S&P500 선물 ETN(H),"23,020",0,"1,151","5,000",0.00,547,N/A,N/A
792,DSR,"7,190",500,"1,150","16,000",3.08,"1,430,747",12.89,5.67
793,새론오토모티브,"5,950",500,"1,142","19,200",68.50,"4,358",18.54,2.86
794,덕양산업,"3,505",500,"1,141","32,565",0.64,"432,914",-19.47,-12.70
795,KODEX 단기변동금리부채권액티브,"102,535",0,"1,139","1,111",0.00,0,N/A,N/A
796,조흥,"189,000","5,000","1,134",600,0.00,321,15.09,5.72
797,KBSTAR 단기국공채액티브,"102,050",0,"1,131","1,108",0.05,"592,272",N/A,N/A
798,일성건설,"2,090",500,"1,129","54,025",63.46,"552,243",39.43,3.16
799,대현,"2,540",500,"1,125","44,282",6.28,"316,365",12.45,4.48
800,까뮤이앤씨,"2,485",500,"1,122","45,152",0.46,"567,101",12.18,11.98
801,KR모터스,"1,165",500,"1,120","96,137",46.02,"718,928",-10.89,-29.64
802,비케이탑스,"8,480",500,"1,113","13,128",0.76,"142,616",-1.75,N/A
803,방림,"2,630",500,"1,113","42,314",1.04,"281,824",30.23,2.62
804,가온전선,"26,700","5,000","1,111","4,160",1.86,"93,866",11.68,3.65
805,지투알,"6,700","1,000","1,110","16,567",33.26,"54,789",12.27,6.27
806,엔케이,"1,385",500,"1,108","79,983",2.16,"1,863,444",N/A,-0.03
807,대원화성,"2,670",500,"1,101","41,249",2.11,"203,684",-50.38,-2.80
808,삼성 인버스 2X 천연가스 선물 ETN B,"21,975",0,"1,099","5,000",0.00,"3,799",N/A,N/A
809,대신 철광석 선물 ETN(H),"54,730",0,"1,095","2,000",0.00,40,N/A,N/A
810,CS홀딩스,"94,400","5,000","1,090","1,154",3.17,"205,443",14.27,3.20
811,TIGER 경기방어,"11,860",0,"1,086","9,160",0.00,"16,647",N/A,N/A
812,삼성공조,"13,200",500,"1,073","8,126",8.73,"37,921",19.88,2.46
813,HANARO Fn K-뉴딜디지털플러스,"12,230",0,"1,070","8,750",0.00,"24,173",N/A,N/A
814,국보,"1,985",500,"1,066","53,711",0.60,"228,335",-4.79,-67.86
815,TIGER 미국MSCI리츠(합성 H),"14,035",0,"1,053","7,500",0.33,"17,116",N/A,N/A
816,인팩,"10,500",500,"1,050","10,000",10.38,"53,154",31.16,3.55
817,영화금속,"1,965",500,"1,049","53,395",0.47,"1,755,123",-10.34,-12.53
818,대원전선,"1,475",500,"1,048","71,017",0.83,"492,267",46.09,2.79
819,이지스레지던스리츠,"5,050","1,000","1,040","20,600",0.13,"48,679",N/A,N/A
820,사조씨푸드,"6,030","1,000","1,038","17,219",1.11,"256,140",13.25,3.78
821,TIGER 미국S&P500레버리지(합성 H),"30,010",0,"1,020","3,400",0.00,"3,553",N/A,N/A
822,경동인베스트,"43,100","5,000","1,019","2,365",12.10,"3,962",6.69,3.68
823,KINDEX 삼성그룹섹터가중,"15,920",0,"1,019","6,400",0.00,"1,431",N/A,N/A
824,KBSTAR 대형고배당10TR,"17,195",0,"1,014","5,900",0.00,"5,293",N/A,N/A
825,비상교육,"7,790",500,"1,012","12,997",7.65,"38,209",-6.82,-7.24
826,KC그린홀딩스,"4,495",500,"1,008","22,435",2.56,"29,679",-2.73,-22.99
827,미래에셋맵스리츠,"5,010","1,000","1,007","20,100",0.02,"9,279",N/A,N/A
828,우진,"4,965",500,"1,004","20,230",1.16,"185,775",2.94,25.83
829,KBSTAR Fn5G테크,"10,620",0,"1,004","9,450",0.00,"45,818",N/A,N/A
830,동방아그로,"7,350",500,"1,001","13,618",30.85,"179,193",14.91,4.84
831,호전실업,"12,500",500,"1,000","8,000",4.00,"34,906",-6.23,-14.99
832,TIGER 부동산인프라고배당,"5,595",0,999,"17,850",0.01,"124,175",N/A,N/A
833,천일고속,"69,600","5,000",995,"1,429",0.25,"5,162",-14.71,-15.21
834,한국수출포장,"24,850","5,000",994,"4,000",5.80,"4,387",11.90,3.34
835,모나미,"5,260","1,000",994,"18,897",1.03,"426,950","1,315.00",0.09
836,KODEX MSCI Korea,"19,820",0,991,"5,000",0.00,30,N/A,N/A
837,티웨이홀딩스,"1,285",500,986,"76,699",1.48,"153,384",-1.15,-71.98
838,SJM,"6,300",500,983,"15,605",12.63,"7,941,758",36.63,1.63
839,TIGER 미국테크TOP10 INDXX,"10,030",0,983,"9,800",2.48,"239,566",N/A,N/A
840,KTis,"2,820",500,981,"34,802",6.37,"87,212",13.30,4.40
841,부국철강,"4,880",500,976,"20,000",0.27,"3,816,488",122.00,0.72
842,화승코퍼레이션,"1,950",500,976,"50,051",1.80,"540,211",-3.11,-17.15
843,사조오양,"10,350","5,000",975,"9,423",1.58,"58,423",5.28,10.48
844,신한 레버리지 천연가스 선물 ETN,"4,865",0,973,"20,000",0.00,"52,172",N/A,N/A
845,만호제강,"23,400","1,000",971,"4,150",6.39,"73,219",86.35,0.55
846,삼영화학,"2,855",500,971,"34,000",4.28,"117,737",475.83,0.49
847,범양건영,"3,900","1,000",968,"24,832",1.12,"105,426",8.82,14.51
848,한국프랜지,"3,180","1,000",968,"30,450",4.57,"2,137,684",8.39,5.24
849,세화아이엠씨,612,500,965,"157,608",0.00,"523,097",-1.53,-90.21
850,조광페인트,"7,530",500,964,"12,800",1.72,"87,370",21.58,2.38
851,KODEX Fn성장,"17,840",0,963,"5,400",0.00,21,N/A,N/A
852,신영와코루,"107,000","5,000",963,900,26.41,"1,301",32.97,0.93
853,이스타코,"2,245",500,962,"42,852",0.13,"784,540","-2,245.00",-0.12
854,성보화학,"4,800",500,961,"20,020",1.78,"105,565",-16.05,N/A
855,한솔로지스틱스,"3,495",500,960,"27,477",2.43,"2,460,784",11.06,17.09
856,TIGER 탄소효율그린뉴딜,"10,000",0,960,"9,600",0.00,"8,972",N/A,N/A
857,상신브레이크,"4,470",500,960,"21,471",1.50,"169,149",-36.05,-1.60
858,KC코트렐,"7,340",500,954,"13,000",1.00,"67,061",-1.49,-148.07
